code,description
02084080,"Carne si organe comestibile de delfini si marsuini; de lamantini si dugongi; de lei de mare si morse, proaspete, refrigerate sau congelate (excl. carne de balena si de foca)"
02085000,"Carne si organe comestibile de reptile (inclusiv serpi si broaste testoase de mare), proaspete, refrigerate sau congelate"
02086000,"Carne si organe comestibile de camile si alte camelide (Camelidae), proaspete, refrigerate sau congelate"
02089010,"Carne si organe comestibile de porumbei domestici, proaspete, refrigerate sau congelate"
02089030,"Carne si organe comestibile de vanat, altul decat iepurii domestici sau iepurii de camp, proaspete, refrigerate sau congelate"
02089060,"Carne si organe comestibile de reni, proaspete, refrigerate sau congelate"
02089070,"Pulpe de broasca, proaspete, refrigerate sau congelate"
02089098,"Carne si organe comestibile, proaspete, refrigerate sau congelate (excl.de iepuri,primate,balene,delfini,marsuini,reptile,camile,bovine,porcine,ovine,caprine,cai,magari,catari,cocosi,gaini,rate,gaste,curcani,bibilici,porumbei,vanat,reni,pulpe de broasca)"
02091011,"Slanina fara parti slabe, de porc, netopita si nici altfel extrasa, proaspata, refrigerata, congelata, sarata sau in saramura"
02091019,"Slanina fara parti slabe, de porc, netopita si nici altfel extrasa, uscata sau afumata"
02091090,"Grasime de porc, alta decat slanina, netopita si nici altfel extrasa, proaspata, refrigerata, congelata, sarata sau in saramura, uscata sau afumata"
02099000,"Grasime de pasare, netopita si nici altfel extrasa, proaspata, refrigerata, congelata, sarata sau in saramura, uscata sau afumata"
02101111,"Jamboane si bucati de jamboane, nedezosate, de porcine domestice, sarate sau in saramura"
02101119,"Spete si bucati din acestea, nedezosate, de porcine domestice, sarate sau in saramura"
02101131,"Jamboane si bucati de jamboane, nedezosate, de porcine domestice, uscate sau afumate"
02101139,"Spete si bucati din acestea, nedezosate, de porcine domestice, uscate sau afumate"
